"UBIGEO","precipitation_mean_2001","precipitation_mean_2002","precipitation_mean_2003","precipitation_mean_2004","precipitation_mean_2005","precipitation_mean_2006","precipitation_mean_2007","precipitation_mean_2008","precipitation_mean_2009","precipitation_mean_2010","precipitation_mean_2011","precipitation_mean_2012","precipitation_mean_2013","precipitation_mean_2014","precipitation_mean_2015","precipitation_mean_2016","precipitation_mean_2017","precipitation_mean_2018","precipitation_mean_2019","precipitation_mean_2020","precipitation_mean_2021","precipitation_mean_2022","precipitation_mean_2023","precipitation_mean_2024"
"010101",11.8207542419434,12.3103633880615,12.0687965393066,12.6567911148071,12.87760887146,13.7169218063354,13.2972660064697,13.318300819397,14.2422748565674,13.1218059539795,12.7205341339111,12.5544979095459,11.6574615478516,12.0889051437378,11.6898973464966,10.7060546875,17.1199859619141,14.8935182571411,12.0691341400146,12.6365585327148,12.8486797332764,14.4644563674927,15.3691526412964,9.76715488433838
"010102",11.7857656478882,12.519627571106,12.7252264022827,13.441442489624,13.6320381164551,13.5013246536255,13.7421464920044,14.3165187835693,14.1938238143921,13.7029466629028,13.0936832427979,14.097674369812,11.5424318313599,12.4356851577759,11.3754749298096,10.9646444320679,18.7381801605225,14.5662202835083,12.1449298858643,13.614972114563,13.5176553726196,15.8195571899414,15.1246109008789,10.2571401596069
"010103",14.4041266441345,13.5723683039347,10.6325698693593,10.559565782547,12.1283175150553,13.985271135966,12.8046048482259,13.3663898309072,15.8187370300293,12.5978591442108,12.6425987879435,10.9824253718058,10.5885530312856,10.3239936828613,10.5382109483083,9.98750797907511,14.3746178150177,13.7047927379608,11.2796267668406,11.5510819753011,12.6010220050812,12.1871811548869,15.1820429166158,8.98823249340057
"010104",14.1286220550537,14.3316230773926,13.7225027084351,14.1808972358704,14.2110033035278,15.0213661193848,15.0764307975769,14.5411887168884,15.0160737037659,15.6622982025146,14.9806127548218,15.0361437797546,14.3228659629822,14.2826147079468,13.8615570068359,13.1207780838013,20.5354204177856,17.7846946716309,14.0542507171631,15.2441501617432,15.6419134140015,17.7914428710938,17.1555843353271,11.6861472129822
"010105",11.2151414871216,11.773458480835,11.7284915924072,12.4971517562866,12.6200687408447,12.6181125640869,13.1242666244507,13.2276836395264,13.029873085022,12.9491785049438,12.2441802978516,12.7534894943237,11.3010765075684,12.0153036117554,11.1680023193359,10.5249181747437,17.4183868408203,14.3727201461792,11.8201259613037,13.0254112243652,12.814402961731,14.6574010848999,14.4869119644165,9.83652992248535
"010106",15.9756025586809,15.2360729490008,11.550098827907,11.800684928894,13.3146433149065,15.6037728445871,14.1144356046404,14.2432049342564,18.119006565639,14.0578215462821,13.9295883178711,12.1268275124686,11.5792525155204,11.2715403693063,11.316182409014,10.7919949122838,15.3230130331857,14.5369336264474,12.4930911745344,12.5032802309309,13.8047751017979,13.1200937543597,16.1867668969291,10.2137622833252
"010107",14.2839592297872,14.4969321886698,14.5470743179321,14.8892377217611,15.0174832344055,15.2196858723958,16.1457424163818,15.6221421559652,15.5046246846517,16.5798107783,15.1604619026184,16.0065115292867,14.1063787142436,14.8471620877584,13.9673102696737,13.300886631012,21.2478812535604,17.514756043752,14.5393470128377,15.7725160916646,16.288685798645,18.7521133422852,16.6862338383993,12.2333663304647
"010108",10.616153717041,11.2769184112549,11.3952445983887,12.317907333374,12.294867515564,12.773904800415,12.800500869751,12.9612169265747,13.1685009002686,12.1943836212158,11.893762588501,11.8384027481079,11.07555103302,11.5023651123047,10.8840370178223,9.96791839599609,16.7502498626709,14.1689577102661,11.4518766403198,12.1418781280518,12.1544609069824,13.1063814163208,15.16490650177,9.41851615905762
"010109",14.8670459747314,15.1714754104614,13.2648094177246,13.3459278106689,13.9057905197144,16.1494647979736,14.4717817306519,14.6979831695557,16.0813541412354,14.3791627883911,14.7798282623291,14.0377717971802,13.5831760406494,13.1136972427368,13.1000400543213,12.7954536437988,19.6152641296387,16.8720985412598,14.0153352737427,15.0391965866089,14.7457321166992,16.8408233642578,17.3305725097656,10.9524602890015
"010110",16.9307336807251,17.6018174171448,13.4501445770264,13.3237175941467,15.6558073997498,17.9662815093994,15.8941562652588,16.511192035675,19.3293117523193,15.8126645088196,16.3106702804565,14.7756519317627,13.6435055732727,13.0593109130859,13.2516224861145,13.1061778068542,17.9244482040405,16.8446960449219,14.4939273834229,14.5270059585571,15.517364025116,16.0609159469604,18.0530094146729,11.4204207420349
"010111",12.2926826477051,12.9128182729085,12.0613660812378,12.4343627293905,13.0982532501221,13.8210643132528,13.3182729085286,13.267967859904,14.5274378458659,13.3395363489787,12.9852883021037,12.5929838816325,12.2345183690389,12.4106152852376,11.9990259806315,11.4328829447428,17.6985944112142,15.2840951283773,12.6187019348145,13.2794316609701,13.3179391225179,15.1766112645467,15.8319880167643,10.227232615153
"010112",13.8582187652588,14.1118896484375,12.6675872802734,12.8419300079346,13.4874851226807,14.9649961471558,13.9303274154663,14.1339735031128,15.6638328552246,14.0162010192871,14.1665916442871,13.2693998336792,12.8324892044067,12.7320383071899,12.5370338439941,12.1435363769531,18.7260478973389,16.1266387939453,13.3718023300171,14.3092700958252,14.04787940979,16.0046762466431,16.6253414154053,10.5675596237183
"010113",15.5893692970276,15.9532556533813,13.4952311515808,13.7137260437012,14.7595629692078,16.8554573059082,15.123827457428,15.950813293457,16.9564733505249,14.8823609352112,15.7093558311462,14.3993391990662,13.8933358192444,13.4554100036621,13.1913104057312,13.0930852890015,19.619104385376,17.2823505401611,14.2023420333862,15.2736911773682,15.0348711013794,16.6981687545776,17.6317701339722,11.1833772659302
"010114",13.5675290714611,13.7355596368963,13.3310147198764,13.7782908352939,13.8322596983476,14.2214455171065,14.7172937393188,14.218240998008,14.2463851408525,15.3266635374589,14.4482325640592,14.7071178609675,13.219142740423,13.7490507472645,13.1907608725808,12.4444707523693,19.3436260223389,16.5814153497869,13.5667812174017,14.4894674474543,15.0481198050759,16.9746449210427,15.9184839942239,11.1887725483287
"010115",16.7983155250549,17.3206224441528,14.4719700813293,14.672206401825,16.0337278842926,17.8982558250427,16.0978083610535,17.0987730026245,18.4582672119141,15.8280162811279,16.7922606468201,15.393132686615,14.45103931427,14.0608086585999,13.8936860561371,14.0886676311493,20.3131518363953,17.7828416824341,14.9132559299469,15.727593421936,15.6883225440979,17.3399467468262,18.294713973999,11.79065990448
"010116",13.4425694147746,13.9518114725749,14.3773918151855,14.6972653071086,14.8463376363118,15.0336589813232,15.4656677246094,15.7064736684163,15.5736894607544,15.6927191416423,14.4176371892293,15.4562565485636,13.6348600387573,14.3300587336222,13.3005704879761,12.4830350875854,21.2760861714681,17.0549017588298,13.9950024286906,15.5504916508993,15.5583353042603,18.3230972290039,16.3157876332601,11.9529838562012
"010117",12.5248861312866,12.7758445739746,12.5582752227783,13.4844703674316,13.7764511108398,13.5255661010742,14.3682813644409,14.0242748260498,13.8459272384644,14.3672752380371,13.1355009078979,13.9146451950073,12.2200002670288,12.9202470779419,12.1673936843872,11.4203548431396,18.6409301757812,15.7389068603516,12.8834390640259,13.9115390777588,14.1362771987915,16.0573177337646,15.5284748077393,10.8226356506348
"010118",13.7821664810181,13.89488697052,14.0253877639771,14.360520362854,14.2039794921875,15.0639162063599,15.0018863677979,14.4700613021851,15.2984771728516,15.3994455337524,14.6353569030762,14.8870649337769,13.2851028442383,13.5705099105835,13.0836696624756,12.142728805542,19.8444976806641,16.7264595031738,13.3434581756592,14.3526000976562,14.4177331924438,17.1790008544922,16.0900001525879,11.1075973510742
"010119",12.4961514472961,13.0013580322266,12.0831084251404,12.2590708732605,13.2580904960632,13.7298622131348,13.1188855171204,13.4528999328613,14.7450437545776,13.3703083992004,13.0143547058105,12.4834575653076,11.8727035522461,12.1501603126526,11.744589805603,11.2063465118408,17.3200960159302,15.2303376197815,12.41015625,13.0700845718384,13.2296919822693,14.718786239624,15.684458732605,10.0149879455566
