"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
214,4.03049811794994e-05,4.14998062554369e-05,4.15294122803708e-05,4.63231594259596e-05,3.97485848412692e-05,4.24513368291823e-05
215,3.48080254664089e-05,3.66118240386254e-05,3.67904946718935e-05,4.10133415036854e-05,3.52094090526453e-05,3.6954395424997e-05
216,3.39791643677376e-05,3.58074749252126e-05,3.606743039411e-05,4.03353553433339e-05,3.46386731296144e-05,3.65962426443531e-05
217,3.74117983111785e-05,3.83940910535864e-05,3.87684010157421e-05,4.37286173783169e-05,3.79531449940951e-05,4.16292474343987e-05
218,4.0872075717262e-05,4.21656826640301e-05,4.26656916835621e-05,4.71364233821821e-05,4.09317400041135e-05,4.34928051364904e-05
219,3.35090950797742e-05,3.54324733600214e-05,3.57265570901204e-05,4.00287471748333e-05,3.41529771989097e-05,3.60290102497558e-05
220,3.58781368616624e-05,3.76452642450365e-05,3.76142956247407e-05,4.20910836470742e-05,3.65080329909408e-05,3.9492113969629e-05
301,3.83983215052546e-05,4.01772861875665e-05,3.86897540085782e-05,4.35095324170383e-05,3.80707991922893e-05,4.07322543589225e-05
302,3.82946472510734e-05,4.03975204517715e-05,3.89412270992157e-05,4.3514288926023e-05,3.79348361540944e-05,4.09068379136328e-05
303,3.83526236804851e-05,4.0075869918995e-05,3.85020402262373e-05,4.28861381031869e-05,3.80340841266573e-05,4.06688907776472e-05
304,3.80108048848505e-05,3.97247924656273e-05,3.82818320973115e-05,4.25922309148768e-05,3.74989059377903e-05,4.02309992514862e-05
306,3.81756879113698e-05,4.02455198178924e-05,3.88775706332523e-05,4.34821370080471e-05,3.77233918157952e-05,4.06452320665498e-05
305,4.02901653867044e-05,4.20394292365088e-05,4.04302750518805e-05,4.50082104124624e-05,4.07523286283812e-05,4.33529352033335e-05
307,3.92529227088334e-05,4.10230667873559e-05,3.91689479265391e-05,4.33918299431845e-05,3.94514059276795e-05,4.15580169378286e-05
401,5.06975048899306e-05,4.99169729239471e-05,4.99574280467696e-05,5.57487642089737e-05,5.16563047134637e-05,5.60739938886543e-05
402,4.35525798389311e-05,4.49601537724981e-05,4.38027373525524e-05,4.69923650158404e-05,4.30687464274429e-05,4.66888619179417e-05
403,4.21918301023356e-05,4.36333983935001e-05,4.227765256819e-05,4.58495476870575e-05,4.14491075392321e-05,4.49485165737389e-05
404,4.05009621873004e-05,4.18972964061646e-05,4.03969811540837e-05,4.45336469287926e-05,3.97179981578264e-05,4.29682392532294e-05
405,4.08894048851071e-05,4.20730165857759e-05,4.07459989539443e-05,4.51238305702202e-05,4.03312647614562e-05,4.34074613849993e-05
406,4.07671939103695e-05,4.20355609065835e-05,4.07584190682063e-05,4.48694910099444e-05,3.98216525644399e-05,4.32542773912979e-05
407,4.62591075271772e-05,4.73585152424062e-05,4.63303717335141e-05,5.04168551734325e-05,4.69106845451362e-05,5.10172440247796e-05
408,3.83278090020281e-05,3.98070219904512e-05,3.84055400232271e-05,4.27322938416292e-05,3.71269392836375e-05,4.01786069776531e-05
502,3.67846200837787e-05,3.8636240747951e-05,3.72939703034736e-05,4.15441660440371e-05,3.61611621516796e-05,3.87494605142929e-05
501,3.80835440561547e-05,3.99880244892271e-05,3.87285139244644e-05,4.32094826766205e-05,3.75909728421969e-05,4.04595968093787e-05
503,3.79313139627437e-05,3.96542500113763e-05,3.8230375373246e-05,4.24273586432064e-05,3.72395828619759e-05,3.99376184102351e-05
504,3.70995891112147e-05,3.90876691141849e-05,3.78567370058179e-05,4.21400177692998e-05,3.6665080054934e-05,3.93608019125483e-05
505,3.70628919847567e-05,3.89395225214925e-05,3.75623403258116e-05,4.19596019298566e-05,3.66962928979412e-05,3.92501179605834e-05
506,3.96873134239068e-05,4.10600117978953e-05,3.96452761714922e-05,4.37768714552782e-05,3.8449765981887e-05,4.15312600451382e-05
507,3.94594313055055e-05,4.0736079264066e-05,3.93477639908727e-05,4.34036748094364e-05,3.78767895788029e-05,4.1138156238441e-05
508,3.8601519590725e-05,3.99455399934646e-05,3.84604005470996e-05,4.27656688197497e-05,3.66148947147202e-05,4.00494933384738e-05
509,3.85913422744407e-05,4.05178616210765e-05,3.90218071926777e-05,4.33017981761188e-05,3.8141311527521e-05,4.12126246878405e-05
510,3.78257814171235e-05,3.98064110233868e-05,3.85549179482269e-05,4.28597751940515e-05,3.74284460509142e-05,4.02839448544683e-05
511,3.8161273824239e-05,4.0217379449243e-05,3.87660158574075e-05,4.30003059074016e-05,3.77942980437705e-05,4.04252355302641e-05
602,3.48064811561471e-05,3.67498771054062e-05,3.73379570029036e-05,4.15356512590088e-05,3.57302127503516e-05,3.75327086479682e-05
601,3.38227513081536e-05,3.53404167141327e-05,3.61327860633647e-05,4.00945680691029e-05,3.42565556342698e-05,3.60909336346999e-05
603,3.29937113493989e-05,3.48432627486855e-05,3.54427077119708e-05,3.95926405256511e-05,3.35793849977598e-05,3.53852831118531e-05
604,3.44333657753535e-05,3.64823363229861e-05,3.71993343085665e-05,4.13880119198633e-05,3.51648449494104e-05,3.71757178336184e-05
605,3.85088063823878e-05,4.01596383512829e-05,4.08742408822488e-05,4.50043800979048e-05,3.84638257565966e-05,4.11268574960927e-05
606,3.4169156257028e-05,3.6200377418714e-05,3.72317921758347e-05,4.15050963116712e-05,3.53212156131677e-05,3.70950145924022e-05
607,3.29463295703867e-05,3.45610004594604e-05,3.54298119789098e-05,3.92740395311989e-05,3.35072729258527e-05,3.54297465488948e-05
608,3.37478852157363e-05,3.5618713985842e-05,3.67250290454045e-05,4.0713356785297e-05,3.47543881469943e-05,3.6688541581691e-05
609,3.24756824946585e-05,3.43386839992508e-05,3.57733505252756e-05,3.94271933752749e-05,3.36902761929312e-05,3.53401099399074e-05
610,3.26426505399715e-05,3.46441678093047e-05,3.51756540304967e-05,3.9482649590745e-05,3.32977268360853e-05,3.51157207296314e-05
611,3.59066998392776e-05,3.73758808055626e-05,3.79849801758245e-05,4.20857007762479e-05,3.55584241161065e-05,3.83012037775533e-05
