ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
0304,3.801080488485045e-5,3.972479246562734e-5,3.828183209731146e-5,4.259223091487678e-5,3.7498905937790333e-5,4.023099925148617e-5
0306,3.817568791136984e-5,4.024551981789237e-5,3.8877570633252273e-5,4.348213700804712e-5,3.7723391815795206e-5,4.0645232066549816e-5
0305,4.029016538670436e-5,4.203942923650877e-5,4.043027505188048e-5,4.50082104124624e-5,4.075232862838122e-5,4.3352935203333476e-5
0307,3.9252922708833374e-5,4.102306678735594e-5,3.916894792653912e-5,4.3391829943184454e-5,3.945140592767946e-5,4.155801693782857e-5
0401,5.0697504889930644e-5,4.99169729239471e-5,4.9957428046769555e-5,5.574876420897366e-5,5.1656304713463685e-5,5.6073993888654296e-5
0402,4.355257983893107e-5,4.496015377249811e-5,4.380273735255243e-5,4.699236501584036e-5,4.3068746427442894e-5,4.6688861917941686e-5
0403,4.21918301023356e-5,4.363339839350013e-5,4.2277652568190025e-5,4.58495476870575e-5,4.144910753923209e-5,4.49485165737389e-5
0404,4.050096218730044e-5,4.189729640616457e-5,4.039698115408367e-5,4.453364692879264e-5,3.971799815782636e-5,4.296823925322938e-5
0405,4.0889404885107145e-5,4.20730165857759e-5,4.0745998953944335e-5,4.5123830570220166e-5,4.033126476145624e-5,4.34074613849993e-5
0406,4.076719391036947e-5,4.203556090658354e-5,4.0758419068206296e-5,4.486949100994442e-5,3.98216525644399e-5,4.325427739129787e-5
0407,4.625910752717717e-5,4.735851524240623e-5,4.6330371733514066e-5,5.041685517343254e-5,4.69106845451362e-5,5.101724402477959e-5
0408,3.832780900202814e-5,3.9807021990451235e-5,3.84055400232271e-5,4.273229384162915e-5,3.712693928363748e-5,4.01786069776531e-5
0502,3.678462008377869e-5,3.8636240747951e-5,3.729397030347357e-5,4.154416604403715e-5,3.616116215167957e-5,3.874946051429294e-5
0501,3.80835440561547e-5,3.9988024489227104e-5,3.8728513924464365e-5,4.3209482676620514e-5,3.7590972842196934e-5,4.045959680937873e-5
0503,3.7931313962743736e-5,3.965425001137634e-5,3.823037537324605e-5,4.2427358643206366e-5,3.723958286197591e-5,3.993761841023512e-5
0504,3.709958911121471e-5,3.9087669114184944e-5,3.785673700581792e-5,4.2140017769299825e-5,3.666508005493397e-5,3.9360801912548256e-5
0505,3.7062891984756726e-5,3.893952252149245e-5,3.75623403258116e-5,4.1959601929856574e-5,3.669629289794118e-5,3.925011796058341e-5
0506,3.968731342390675e-5,4.106001179789528e-5,3.964527617149219e-5,4.377687145527823e-5,3.844976598188697e-5,4.153126004513817e-5
0507,3.945943130550548e-5,4.0736079264066025e-5,3.934776399087274e-5,4.3403674809436395e-5,3.787678957880294e-5,4.113815623844105e-5
