ubigeo,precipitation_mean_2001,precipitation_mean_2002,precipitation_mean_2003,precipitation_mean_2004,precipitation_mean_2005,precipitation_mean_2006,precipitation_mean_2007,precipitation_mean_2008,precipitation_mean_2009,precipitation_mean_2010,precipitation_mean_2011,precipitation_mean_2012,precipitation_mean_2013,precipitation_mean_2014,precipitation_mean_2015,precipitation_mean_2016,precipitation_mean_2017,precipitation_mean_2018,precipitation_mean_2019,precipitation_mean_2020,precipitation_mean_2021,precipitation_mean_2022,precipitation_mean_2023,precipitation_mean_2024
0804,18.578898370793436,19.02114306930947,16.986982126151567,15.093135437079235,13.370987478610688,17.465900252350664,16.80387765327386,15.781901891252636,16.475444291545227,17.8381891925778,17.655004906443367,15.980126921054536,17.218671444243036,13.755526331673682,14.068298652108792,16.887608355125494,18.307999619340475,18.169531982556908,16.81004476969221,14.257910977422664,18.246118393619504,12.557794878968096,14.817797677706828,15.789659179417432
0805,13.799330599167767,13.942964469685274,11.685874602373909,11.795275968663832,10.17128677929149,12.463375175700468,11.88906485894147,10.483786007937264,10.337019289241118,11.178713265587302,13.842535355511833,13.733510031419641,12.64078377274906,11.393281123217415,10.866517866359038,10.571520048029283,12.623441569945392,14.160529964110431,14.102144591948566,11.13882516412174,13.680600937675027,10.234219004126157,11.993424569859224,11.960404718623442
0806,15.431644654089165,15.260828262151675,13.318474266880242,13.23005990464558,11.143982118414353,13.52298237556635,13.203404914501101,12.287915000619815,11.532459584317467,12.456446958142658,14.68162257911623,15.516337956568991,16.893492617348368,15.776956513870594,14.514508580052576,15.464779898177746,18.19880095932835,19.313710811526278,18.64221413930257,14.73412326694459,17.957284890404043,13.400066006091214,16.337021702019744,15.755142958589303
0807,13.081506381834174,13.4375311129355,10.883424640390915,11.266826965905338,9.454456654587233,12.154308324604365,11.602194334041176,10.057230359557048,10.639538040050882,10.493878152329108,13.445296921481976,14.610709311645156,12.639497767983144,10.887961001754496,11.350794681923928,10.850598368341522,13.052382805443912,13.547107917035936,13.856610937614661,10.794152375590594,13.256136508346293,9.447405192204293,11.867082595825195,11.684678959708682
0801,12.437218487262726,11.373473167419434,9.732618987560272,9.075284719467163,7.60111939907074,10.738460063934326,9.329889714717865,9.528783529996872,9.332247912883759,11.895520269870758,11.141860842704773,11.353789806365967,11.071748852729797,9.508920729160309,9.033959209918976,9.33388701081276,11.604269444942474,11.944588840007782,10.860396683216095,9.42234879732132,11.621537923812866,8.19586244225502,9.302599728107452,9.960041046142578
0808,11.65651290938699,12.385141203389365,9.408661667411849,9.844696973202497,8.81983364545382,10.420108998315575,10.13425057315262,8.882610577803392,8.662882438072792,9.628643933132555,11.79400557455932,12.265112340802977,10.586606189344057,9.22453885953102,9.06300045047286,8.805114088679206,10.017217774362958,11.806798556852623,10.780918902899387,9.094594314958922,11.101069732530583,8.636905286439072,9.429998115674984,9.635565842397114
0809,37.359722264917885,38.19358288648652,34.29147884182814,33.25521699486709,30.413300156011815,35.62493690397681,35.66234379279904,30.858856294213272,34.67489411609929,33.683284722304926,38.92434384136665,32.78652722242402,32.65444200283144,29.409565269656298,29.046262177258004,29.05806244733857,31.94767770162443,29.846963005065916,32.21639689375714,25.166749613692122,35.56987861447218,24.1934263555015,28.200514945053474,30.17668529324415
0810,14.053609348478771,13.652577309381394,12.13467794751364,11.509235911899143,9.621166221679204,13.391929762704033,11.507385087391686,10.90750193217444,11.168527285257975,12.478118003360809,13.776770803663466,13.921967748611692,12.356475330534435,10.91021082136366,11.145732667711046,10.482628307645284,13.083254072401258,13.567683235047356,12.941234982202923,10.751396466815283,13.500507051982577,9.608113811129616,11.352822576250349,11.53429561191135
0811,28.053351673326993,29.00211185154162,25.537300867783397,22.895614970357794,19.207988086499665,24.860327705584073,24.861772637618216,23.870402843073794,21.298349980304117,24.14345470729627,25.254757936377274,26.20256138851768,28.377387257626182,24.600015557439704,24.329756013970627,27.23554226975692,30.80842729869642,31.13696601767289,29.494783798017,22.724911253075852,29.016563817074424,21.738628766411228,25.666849083649485,28.334903817427787
0812,35.4917716105779,37.359435907999675,30.86005513270696,30.157053635517755,25.929810843865077,30.549143652121227,31.74216919342677,30.429093207915624,28.263299069801967,28.709812887509663,30.959874991575877,33.513583878676094,35.38230322599411,33.86342579126358,31.812077140808107,33.46404488086701,39.1367581764857,39.80168530543645,39.33593061367671,29.25787230928739,35.55551632642746,31.580705853303275,34.24913584391276,36.17617226441701
0813,16.75210376580556,16.890874008337658,14.490008254845938,14.424971560637156,11.444601555665335,15.00910359621048,13.915750781695047,13.400041182835897,13.592839161554972,15.568365236123404,15.872082471847534,13.362402975559235,14.43676326672236,12.481577595074972,12.233822186787924,14.406372249126434,15.232838114102682,16.225410322348278,13.665571987628937,12.156989932060242,14.790763894716898,10.556800107161203,12.315445403258005,12.502301553885141
0902,11.842165565490722,12.827683893839518,11.26817274093628,10.835266208648681,9.464267349243164,11.09488614400228,10.251306660970052,9.762682056427002,11.810724353790283,10.55006685256958,17.35343869527181,12.492835807800294,14.088139756520588,12.291235256195069,12.262691942850749,11.674842262268067,11.439037958780924,12.139956696828206,12.22255932490031,9.937902069091797,13.170112895965577,10.971000639597575,11.810923385620118,12.581507555643718
0903,11.503757507570329,12.261433862870739,11.138357131711897,9.70692786093681,8.63723595680729,10.339024159216113,9.929163871272918,8.544011738992506,10.94388751060732,9.619739209451984,15.23525805627146,12.197199929145075,13.739751831177742,12.135322955346876,11.748221551218341,10.880340745372157,11.542814654688682,11.291800099034463,11.944066755233273,9.196449672022174,12.475605072513703,10.34678154606973,11.101183891296387,11.968005011158604
0904,9.216288758802783,8.76027813068656,8.239680166392363,7.3159457824026894,6.603245746257693,8.720121091650437,7.549130356589029,8.23146103888519,8.564852938171505,7.7371321851892985,15.595220144404921,13.856404611306598,12.584586989972019,12.25842501765998,10.894482705020165,9.518461467683778,12.258598645528158,11.966032227804494,13.476946793785391,9.717066276905149,13.702664013056792,10.103764681853065,12.342151146526485,12.488809537517932
0905,12.71384630705181,13.214165486787495,11.725882730985942,12.558760492425217,10.06990405132896,12.856758770189787,11.14520828347457,11.009034432862935,12.754825642234401,11.79617916910272,20.395334043000872,13.788314317402087,15.65391374889173,12.89175706160696,13.339268232646742,12.278107316870438,12.710767043264289,12.78661020178544,13.690395054064298,11.048781269475034,14.74620623337595,11.951608808417069,13.267202628286261,14.123449425948294
